,公司代码_CompanyCode,证券代码_R_SecuCode,指数代码_IdxCd,指数全称_IdxFNm,证券市场_SecuMkt,上市日期_LsDt,上市状态_LstState,指数类别_IdxCtgy,行业类别_IndType,指数简介_IdxIntr
10,55414,83_000123,000123,上证180动态指数,83,2013-02-08,1,42,,"                     上证动态指数和稳定指数系列编制方案
一、指数名称与代码
指数代码    中文全称    中文简称        英文全称          英文简称
 000123 上证180动态指数 180动态  SSE 180 Dynamic Index   180 Dynamic
 000125 上证180稳定指数 180稳定  SSE 180 Stability Index 180 Stability
 000141 上证380动态指数 380动态  SSE 380 Dynamic Index   380 Dynamic
 000142 上证380稳定指数 380稳定  SSE 380 Stability Index 380 Stability
二、指数基日与基点
    上证 180 动态指数和稳定指数以 2002 年 6 月 28 日 为基日，以该日收盘后所有样本股的调整市值为基期，以 3299.06 点为基点；
    上证 380 动态指数和稳定指数以 2003 年 12 月 31 日为基日，以该日收盘后所有样本股的调整市值为基期，以 1000 点为基点。
三、样本选取方法
1、样本空间
    上证 180 动态指数和稳定指数的样本空间由上证 180 的全部样本组成；
    上证 380 动态指数和稳定指数的样本空间由上证 380 的全部样本组成；
2、选样方法
2.1 计算波动率因子与质量因子的变量数值
    波动率因子有两个变量： 52 周波动率、 36 月波动率，质量因子有四个变量：债务权益比、总资产 / 净利润、盈"
11,55415,83_000125,000125,上证180稳定指数,83,2013-02-08,1,42,,"                     上证动态指数和稳定指数系列编制方案
一、指数名称与代码
指数代码    中文全称    中文简称        英文全称          英文简称
 000123 上证180动态指数 180动态  SSE 180 Dynamic Index   180 Dynamic
 000125 上证180稳定指数 180稳定  SSE 180 Stability Index 180 Stability
 000141 上证380动态指数 380动态  SSE 380 Dynamic Index   380 Dynamic
 000142 上证380稳定指数 380稳定  SSE 380 Stability Index 380 Stability
二、指数基日与基点
    上证 180 动态指数和稳定指数以 2002 年 6 月 28 日 为基日，以该日收盘后所有样本股的调整市值为基期，以 3299.06 点为基点；
    上证 380 动态指数和稳定指数以 2003 年 12 月 31 日为基日，以该日收盘后所有样本股的调整市值为基期，以 1000 点为基点。
三、样本选取方法
1、样本空间
    上证 180 动态指数和稳定指数的样本空间由上证 180 的全部样本组成；
    上证 380 动态指数和稳定指数的样本空间由上证 380 的全部样本组成；
2、选样方法
2.1 计算波动率因子与质量因子的变量数值
    波动率因子有两个变量： 52 周波动率、 36 月波动率，质量因子有四个变量：债务权益比、总资产 / 净利润、盈"
12,53890,83_000132,000132,上证100指数,83,2012-04-20,1,47,,"                        上证 100 指数编制方案
一、指数名称与代码
    指数名称：上证 100 指数
    指数简称：上证 100
    指数英文名称： SSE 100 Index
    指数英文简称： SSE 100
    指数代码： 000132
二、基日和基点
    上证 100 指数的基日为 2003 年 12 月 31 日 ，基点为 1000 点。
三、样本选取方法
    1 、样本空间
    上证 100 指数的样本空间为上证 380 指数样本股。
    2 、选样方法
    将样本空间中的股票按照营业收入增长率、净资产收益率分别由高到低排名，将两个指标的排名结果相加，所得和的排名作为股票的综合排名，选取综合排名前 100 名的股票作为指数样本。
四、指数计算
    上证 100 指数采用派许加权方法，按照样本股的调整股本数为权数加权计算，计算公式如下：
    报告期指数 = 报告期样本股的调整市值 / 基期× 1000 ，
    其中，调整市值 = Σ ( 股价×调整股本数 ) ，调整股本数的计算方法同上证全指。
五、指数修正
    同上证 180 指数。
六、样本股调整
    上证 100 指数原则上每半年调整一次样本股， 样本股调整实施时间分别是每年 7 月和次年 1 月的第一个交易日， 每次调整的样本股数量不超过 10% 。样本股定期调整时设置缓"
13,53891,83_000133,000133,上证150指数,83,2012-04-20,1,47,,"                        上证 150 指数编制方案
一、指数名称与代码
    指数名称：上证 150 指数
    指数简称：上证 150
    指数英文名称： SSE 150 Index
    指数英文简称： SSE 150
    指数代码： 000133
二、基日和基点
    上证 150 指数的基日为 2003 年 12 月 31 日 ，基点为 1000 点。
三、样本选取方法
    1 、样本空间
    上证 150 指数的样本空间由剔除下列股票后的所有沪市 A 股组成：
    a) 上证 180 指数样本股
    b) 上证 380 指数样本股
    c) ST 、*ST 股票，暂停上市股票、上市不满 3 个月的股票
    2 、选样方法
    将样本空间中的股票按照营业收入增长率、日均换手率分别由高到低排名，将两个指标的排名结果相加，所得和的排名作为股票的综合排名，选取综合排名前 150 名的股票作为指数样本。
四、指数计算
    上证 150 指数采用派许加权方法，按照样本股的调整股本数为权数加权计算，计算公式如下：
    报告期指数 = 报告期样本股的调整市值 / 基期× 1000 ，
    其中，调整市值 = Σ ( 股价×调整股本数 ) ，调整股本数的计算方法同上证全指。
五、指数修正
    同上证 180 指数。
六、样本股调整
    上证 150 指数原则上每半年调整一"
14,54026,74_100050,100050,聚源数据-地域指数-重庆,74,2012-04-10,1,40,,
15,55416,83_000141,000141,上证380动态指数,83,2013-02-08,1,42,,"                     上证动态指数和稳定指数系列编制方案
一、指数名称与代码
指数代码    中文全称    中文简称        英文全称          英文简称
 000123 上证180动态指数 180动态  SSE 180 Dynamic Index   180 Dynamic
 000125 上证180稳定指数 180稳定  SSE 180 Stability Index 180 Stability
 000141 上证380动态指数 380动态  SSE 380 Dynamic Index   380 Dynamic
 000142 上证380稳定指数 380稳定  SSE 380 Stability Index 380 Stability
二、指数基日与基点
    上证 180 动态指数和稳定指数以 2002 年 6 月 28 日 为基日，以该日收盘后所有样本股的调整市值为基期，以 3299.06 点为基点；
    上证 380 动态指数和稳定指数以 2003 年 12 月 31 日为基日，以该日收盘后所有样本股的调整市值为基期，以 1000 点为基点。
三、样本选取方法
1、样本空间
    上证 180 动态指数和稳定指数的样本空间由上证 180 的全部样本组成；
    上证 380 动态指数和稳定指数的样本空间由上证 380 的全部样本组成；
2、选样方法
2.1 计算波动率因子与质量因子的变量数值
    波动率因子有两个变量： 52 周波动率、 36 月波动率，质量因子有四个变量：债务权益比、总资产 / 净利润、盈"
16,55417,83_000142,000142,上证380稳定指数,83,2013-02-08,1,42,,"                     上证动态指数和稳定指数系列编制方案
一、指数名称与代码
指数代码    中文全称    中文简称        英文全称          英文简称
 000123 上证180动态指数 180动态  SSE 180 Dynamic Index   180 Dynamic
 000125 上证180稳定指数 180稳定  SSE 180 Stability Index 180 Stability
 000141 上证380动态指数 380动态  SSE 380 Dynamic Index   380 Dynamic
 000142 上证380稳定指数 380稳定  SSE 380 Stability Index 380 Stability
二、指数基日与基点
    上证 180 动态指数和稳定指数以 2002 年 6 月 28 日 为基日，以该日收盘后所有样本股的调整市值为基期，以 3299.06 点为基点；
    上证 380 动态指数和稳定指数以 2003 年 12 月 31 日为基日，以该日收盘后所有样本股的调整市值为基期，以 1000 点为基点。
三、样本选取方法
1、样本空间
    上证 180 动态指数和稳定指数的样本空间由上证 180 的全部样本组成；
    上证 380 动态指数和稳定指数的样本空间由上证 380 的全部样本组成；
2、选样方法
2.1 计算波动率因子与质量因子的变量数值
    波动率因子有两个变量： 52 周波动率、 36 月波动率，质量因子有四个变量：债务权益比、总资产 / 净利润、盈"
20,54027,74_100051,100051,聚源数据-地域指数-四川,74,2012-04-10,1,40,,
21,54028,74_100052,100052,聚源数据-地域指数-贵州,74,2012-04-10,1,40,,
22,54029,74_100053,100053,聚源数据-地域指数-云南,74,2012-04-10,1,40,,
25,53302,84_000801,000801,中证资源80指数,84,2011-11-08,1,44,,"    关于发布中证 TMT 产业主题指数、中证资源 80 指数与中证 500 沪市指数的公告

    为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，中证指数有限公司将于 2011 年 11 月 8 日 正式发布 中证 TMT 产业主题指数、 中证资源 80 指数与中证 500 沪市指数，编制方案见附件。
    附2：中证资源80指数编制方案

一、指数名称及代码
1)指数全称：中证资源 80 指数
2)指数简称：资源 80
3)英文名称： CSI Resource 80 Index
4)英文简称： CSI Resource 80
5)指数代码： 000801

二、指数的基期和基点
    该指数以 2004 年 12 月 31 日 为基日， 以该日所有样本股的调整市值为基期， 基点为 1000 点。

三、样本选取方法
1、样本空间
    以中证 800 指数样本股作为样本空间。
2 、资源类股票的选取
    将样本空间中属于下列行业的股票列为资源类股票：
  1)能源类：综合性油气、油气勘探生产、油气炼制营销、煤炭；
  2)工业材料类：铝、多种金属与采矿、黄金、贵重金属与矿石、化学制品；
  3)农业类：农产品、林业产品。
3、选样方法
    将样本空间中资源类股票按照过去一年 A 股日均市值由高到低排名，选取排名前 80 的股票作为中证资源 80 指数样本股。

四"
27,54840,84_000846,000846,中证财通中国可持续发展100(ECPIESG)指数,84,2012-10-16,1,49,,"        中证财通中国可持续发展 100 （ ECPI ESG ) 指数编制方法
一、指数名称
    指数名称：中证财通中国可持续发展 100 （ ECPI ESG) 指数
    指数简称： ESG 100
    指数代码： 000846
二、指数基期与基点
    指数以 2011 年 6 月 30 日 为基日，以该日所有股票样本的调整市值为基期，基点为 1000 点。
三、样本选取办法 
    1 、样本空间
      由沪深 300 指数样本股构成样本空间。
    2 、选样
      对样本空间内股票采用国际先进的 ECPI 可持续发展评级体系，运用 ESG 方法从环境、社会和治理三方面进行评级，依据评级结果选取评级靠前的 100 只股票构成指数样本股，如果评级相同，则优先选取过去一年日均总市值较高的股票。
四、指数计算与修正
    指数采用等权重综合加权方式计算，计算公式为：
报告期指数 = 报告期成份股的调整市值 / 除数× 1000
    其中：调整市值＝ Σ ( 股价×调整股本数×等权重因子 ) ，调整股本数的计算方法同沪深 300 指数。设置等权重因子以使单个样本股权重相等。
    指数的修正同沪深 300 指数。
五、定期调整
    指数每半年调整一次样本股，对于调整前后相同评级的老样本，如果日均总市值在样本空间的排名在前 60% ，将优先保留"
29,57100,83_000855,000855,央视财经500指数,83,2014-11-03,1,44,,"                           关于发布央视财经500指数的公告
    为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，中证指数有限公司将于 2014 年 11 月 3 日正式发布央视财经 500 指数。编制方案见中证指数有限公司网站 (www.csindex.com.cn) 。
附 1 ：
央视财经 500 指数编制方案
一、指数名称及代码
    指数代码： 000855
    中文全称：央视财经 500 指数
    中文简称：央视 500
    英文全称： CCTV500 Index
    英文简称： CCTV500
二、指数的基日和基点
    2009 年 12 月 31 日为基日，基点为 1000 点。
三、选样方法
    1、 样本空间：由同时满足以下条件的沪深 A 股股票组成：
        ?  上市时间超过一个季度，除非该股票自上市以来日均 A 股总市值在全部沪深 A 股中排名前 30 ；
        ?  非 ST ， *ST 股票，非暂停上市股票。
    2、 股票分类：将样本空间股票划分为金融地产、能源材料、工业等 6 大类别：
大类	中证行业
金融地产	金融地产
能源材料	能源、原材料
工业	工业
信息电信	信息技术、电信业务
消费服务	主要消费、可选消费、医药卫生
公用事业	公用事业
    3、 选样方法：
        a. 根据样本空间中各大类股票数量分配对应大"
34,51040,84_000925,000925,中证锐联基本面50指数,84,2009-02-26,1,42,,"               关于发布中证锐联基本面50指数的公告

    中证指数有限公司将于2009年2月26日正式发布中证锐联基本面50指数。该指数挑选以4个基本面指标（营业收入、现金流、净资产、分红）来衡量的经济规模最大的50家A股上市公司作为样本，且样本个股的权重配置与其经济规模相适应。指数的基日为2004年12月31日，基点为1000点（编制方案附后）。

    中证指数有限公司
    2009年2月11日

    附：中证锐联基本面50指数编制方案
    一、指数名称与代码
    1、指数名称：中证锐联基本面50指数
    2、指数简称：基本面50
    3、英文名称：CSI RAFI 50 Index
    4、英文简称：CSI RAFI 50
    5、指数代码：000925(上海证券交易所); 399925(深圳证券交易所)
    二、样本空间
    中证锐联基本面50指数的样本空间由同时满足下列条件的A股股票组成：
    1、非ST、*ST股票，非暂停上市股票；
    2、经营状况良好，最近一年无重大违法违规事件，财务报告无重大问题。
    三、选样方法
    中证锐联基本面50指数按照以下两个步骤进行选样：
    1、对样本空间的股票，按照最近一年的日均成交金额由高到低排名，剔除排名后20%的股票。
        2、对样本空间内的剩余股票，按"
35,51607,84_000941,000941,中证内地新能源主题指数,84,2009-10-28,1,44,,"                中证内地主题系列指数编制方案
    一、 指数名称及代码 
指数名称             指数简称      英文名称                           行情代码
中证内地新能主题源指数 新能源 CSI China Mainland New Energy index 000941(上海)/399941(深圳)
中证内地消费主题指数 内地消费 CSI China Mainland Consumer index 000942(上海)/399942(深圳)
中证内地基建主题指数 内地基建 CSI China Mainland Infrastructure index 000943(上海)/399943(深圳)
中证内地资源主题指数 内地资源 CSI China Mainland Natural Resource index 000944(上海)/399944(深圳)
中证内地运输主题指数 内地运输 CSI China Mainland Transportation index 000945(上海)/399945(深圳)
中证内地金融主题指数 内地金融 CSI China Mainland Financials index 000946(上海)/399946(深圳)
中证内地银行主题指数 内地银行 CSI China Mainland Banks index 000947(上海)/399947(深圳)
中证内地地产主题指数 内地地产 CSI China Mainland Real Estate index 000948(上海)/399948(深圳)
中证内地农业主题指数 内地农业 CSI China Mainland Agriculture index 000949(上海)/399949(深圳)
    二、 指数的基期和基点"
36,51608,84_000942,000942,中证内地消费主题指数,84,2009-10-28,1,44,,"                中证内地主题系列指数编制方案
    一、 指数名称及代码 
指数名称             指数简称      英文名称                           行情代码
中证内地新能主题源指数 新能源 CSI China Mainland New Energy index 000941(上海)/399941(深圳)
中证内地消费主题指数 内地消费 CSI China Mainland Consumer index 000942(上海)/399942(深圳)
中证内地基建主题指数 内地基建 CSI China Mainland Infrastructure index 000943(上海)/399943(深圳)
中证内地资源主题指数 内地资源 CSI China Mainland Natural Resource index 000944(上海)/399944(深圳)
中证内地运输主题指数 内地运输 CSI China Mainland Transportation index 000945(上海)/399945(深圳)
中证内地金融主题指数 内地金融 CSI China Mainland Financials index 000946(上海)/399946(深圳)
中证内地银行主题指数 内地银行 CSI China Mainland Banks index 000947(上海)/399947(深圳)
中证内地地产主题指数 内地地产 CSI China Mainland Real Estate index 000948(上海)/399948(深圳)
中证内地农业主题指数 内地农业 CSI China Mainland Agriculture index 000949(上海)/399949(深圳)
    二、 指数的基期和基点"
37,51611,84_000945,000945,中证内地运输主题指数,84,2009-10-28,1,44,,"                中证内地主题系列指数编制方案
    一、 指数名称及代码 
指数名称             指数简称      英文名称                           行情代码
中证内地新能主题源指数 新能源 CSI China Mainland New Energy index 000941(上海)/399941(深圳)
中证内地消费主题指数 内地消费 CSI China Mainland Consumer index 000942(上海)/399942(深圳)
中证内地基建主题指数 内地基建 CSI China Mainland Infrastructure index 000943(上海)/399943(深圳)
中证内地资源主题指数 内地资源 CSI China Mainland Natural Resource index 000944(上海)/399944(深圳)
中证内地运输主题指数 内地运输 CSI China Mainland Transportation index 000945(上海)/399945(深圳)
中证内地金融主题指数 内地金融 CSI China Mainland Financials index 000946(上海)/399946(深圳)
中证内地银行主题指数 内地银行 CSI China Mainland Banks index 000947(上海)/399947(深圳)
中证内地地产主题指数 内地地产 CSI China Mainland Real Estate index 000948(上海)/399948(深圳)
中证内地农业主题指数 内地农业 CSI China Mainland Agriculture index 000949(上海)/399949(深圳)
    二、 指数的基期和基点"
38,51612,84_000946,000946,中证内地金融主题指数,84,2009-10-28,1,44,,"                中证内地主题系列指数编制方案
    一、 指数名称及代码 
指数名称             指数简称      英文名称                           行情代码
中证内地新能主题源指数 新能源 CSI China Mainland New Energy index 000941(上海)/399941(深圳)
中证内地消费主题指数 内地消费 CSI China Mainland Consumer index 000942(上海)/399942(深圳)
中证内地基建主题指数 内地基建 CSI China Mainland Infrastructure index 000943(上海)/399943(深圳)
中证内地资源主题指数 内地资源 CSI China Mainland Natural Resource index 000944(上海)/399944(深圳)
中证内地运输主题指数 内地运输 CSI China Mainland Transportation index 000945(上海)/399945(深圳)
中证内地金融主题指数 内地金融 CSI China Mainland Financials index 000946(上海)/399946(深圳)
中证内地银行主题指数 内地银行 CSI China Mainland Banks index 000947(上海)/399947(深圳)
中证内地地产主题指数 内地地产 CSI China Mainland Real Estate index 000948(上海)/399948(深圳)
中证内地农业主题指数 内地农业 CSI China Mainland Agriculture index 000949(上海)/399949(深圳)
    二、 指数的基期和基点"
